age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,student_id,lucky_number,hobby_code
90,?,77053,HS-grad,9,Widowed,?,Not-in-family,White,,0,4356,40,United-States,<=50K,1,202,A
82,Private,132870,HS-grad,9,,,Not-in-family,White,Female,0,4356,18,United-States,<=50K,2,535,A
66,?,186061,Some-college,10,Widowed,?,Unmarried,Black,Female,0,,40,United-States,<=50K,3,960,C
54,Private,140359,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,,3900,40,United-States,<=50K,4,370,A
41,Private,264663,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,0,5,206,A
34,Private,216864,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,0,6,171,C
38,Private,150601,10th,,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,0,7,800,A
74,State-gov,88638,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,>50K,8,120,A
68,Federal-gov,422013,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,<=50K,9,714,B
,Private,70037,,10,Never-married,Craft-repair,Unmarried,White,,0,3004,60,?,>50K,10,,A
45,Private,172274,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,1,11,566,C
38,Self-emp-not-inc,164526,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,>50K,12,314,B
52,Private,129177,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,,20,United-States,>50K,13,430,A
32,Private,136204,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,1,14,558,C
51,?,172175,Doctorate,16,Never-married,?,Not-in-family,White,Male,0,2824,40,,1,15,187,D
46,Private,45363,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,,2824,40,United-States,1,16,472,A
45,Private,172822,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,>50K,17,199,D
57,Private,317847,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,>50K,18,971,B
22,Private,119592,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,?,>50K,19,763,C
34,Private,203034,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,1,20,230,B
,Private,188774,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,,United-States,>50K,21,761,D
29,Private,77009,11th,7,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States,0,22,408,D
61,Private,29059,HS-grad,,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,0,23,869,D
51,Private,153870,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,United-States,<=50K,24,443,C
61,?,135285,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2603,32,United-States,<=50K,25,591,D
21,Private,34310,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,United-States,<=50K,26,513,D
33,Private,228696,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,0,27,905,C
49,Private,122066,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,40,Greece,<=50K,28,485,D
37,Self-emp-inc,107164,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,>50K,29,291,A
38,Private,175360,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States,1,30,376,D
23,Private,44064,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States,>50K,31,260,C
59,Self-emp-inc,,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,1,32,,D
52,Private,198863,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,,60,United-States,1,33,413,C
51,Private,123011,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,,0,2559,50,United-States,>50K,34,121,D
60,,205246,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,>50K,35,352,A
63,Federal-gov,39181,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K,36,847,C
53,Private,149650,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States,>50K,37,956,C
51,Private,197163,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,1,38,660,C
37,Self-emp-not-inc,137527,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,>50K,39,574,C
54,,161691,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K,40,,
44,Private,326232,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States,1,41,610,
43,Private,115806,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,>50K,42,781,A
51,Private,115066,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,1,43,575,A
43,Private,289669,Masters,14,,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K,44,799,D
71,?,100820,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2489,15,United-States,0,45,882,B
48,Private,121253,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K,46,289,C
71,Private,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,<=50K,47,786,D
73,Self-emp-not-inc,233882,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K,48,662,A
68,?,192052,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,2457,40,United-States,<=50K,49,975,
